Majority_Youtube,Minority_Youtube
SenateCommercePress,
senateenergy,ENRGOP,
HSGAC,
SenateSmallBusiness?feature=sub_widget_1,
SenateIndianAffairs,
TheJECRepublicans,JointEconCommittee,
hascrepublicans,
HouseBudgetCommittee,housebudgetcmtedem,
EdLaborRepublicans,EdLaborDemocrats,
energyandcommerce,EnergyCommerce,
gopfinancialservices,
FArepublicans,HFACDemocrats,
Househomeland,HomelandDems,
CHAGOPVideos,
,housejuddems,
NaturalResourcesGOP,NaturalResourcesDems,
oversightandreform,oversightdems,
SciSpaceTechCmt,ScienceDemocrats,
SmallBizRepublicans,HouseSmallBizDems,
transport,johnnobletandi,
HouseVetsAffairs,VetAffairsDems,
WandMRepublicans,waysandmeansdems,
HPSCI,
TheJECRepublicans,JointEconCommittee
